 CODICE_IVASS;TIPO_ALBO;DATA_ISCRIZIONE_ALBO_ELENCO;DATA_CANCELLAZIONE_ALBO_ELENCO;DENOMINAZIONE_IMPRESA;CODICE_FISCALE;CLASSIFICAZIONE;INDIRIZZO_SEDE_LEGALE_RAPPRESENTANZA_IN_ITALIA;INDIRIZZO_DIREZIONE_GENERALE;INDIRIZZO_CASA_MADRE;TIPO_LAVORO;PEC
D975R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2020-12-02;9999-12-31;ACCELERANT INSURANCE EUROPE SA/NV;0000016084711007;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA LEONIDA BISSOLATI, 54  00187 ROMA;;;DANNI;accelerantinsuranceeu@legalmail.it
D974R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2020-06-10;9999-12-31;ACCREDITED INSURANCE (EUROPE) LTD;0000097905330151;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA DELLA MOSCOVA, 3  20121 MILANO;;;DANNI;accreditedinsurance-eu@legalmail.it
D969R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2019-07-19;9999-12-31;ADRIATIC OSIGURANJE D.D.;0000090156860323;IMPRESA SEE CHE OPERA IN STABILIMENTO;CORSO ITALIA 31 (34122 )        TRIESTE;;;DANNI;ADRIATIC@PEC.ADRIATIC-ASSICURAZIONI.IT
D906R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2012-06-07;9999-12-31;AFI ESCA;0000097601900158;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA VITTOR PISANI,5  20124 MILANO;;;VITA;AFI-ESCA@LEGALMAIL.IT
D903R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2012-02-14;9999-12-31;AFI ESCA IARD;0000007906760967;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA VITTOR PISANI, 5  20124 MILANO;;;DANNI;AFI-ESCA-IARD@LEGALMAIL.IT
D947R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2018-02-23;9999-12-31;AIG EUROPE S.A.;0000097819940152;IMPRESA SEE CHE OPERA IN STABILIMENTO;PIAZZA VETRA 17  20123 MILANO;;;DANNI;SERVIZIO.RECLAMI@AIGEUROPE.POSTECERT.IT
D959R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2019-01-22;9999-12-31;AIOI NISSAY DOWA INSURANCE COMPANY OF EUROPE SE;0000097477510586;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA KIICIRO TOYODA 2  00148 ROMA;;;DANNI;aioinissaydowa-amministrazione@legalmail.it
D981R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2023-09-28;9999-12-31;ALLIANZ DIRECT VERSICHERUNGS-AG; ;IMPRESA SEE CHE OPERA IN STABILIMENTO;PIAZZA TRE TORRI, 3  20145 MILANO;;;DANNI; 
D875R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2008-07-17;9999-12-31;ALLIANZ GLOBAL CORPORATE & SPECIALTY SE;0000006385250961;IMPRESA SEE CHE OPERA IN STABILIMENTO;PIAZZA TRE TORRI 3  20145 MILANO;;;DANNI;AGCS@PEC.ALLIANZ.IT
D878R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2008-11-28;9999-12-31;ALLIANZ GLOBAL LIFE DAC;0000001155610320;IMPRESA SEE CHE OPERA IN STABILIMENTO;LARGO UGO IRNERI, 1  34123 TRIESTE;;;VITA;ANTIRICICLAGGIO.ALLIANZ@LEGALMAIL.IT
D956R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2019-01-08;9999-12-31;ALLIANZ LEBENSVERSICHERUNGS-AG;0000001320560327;IMPRESA SEE CHE OPERA IN STABILIMENTO;LARGO UGO IRNERI, 1  34123 TRIESTE;;;VITA;allianz_lebenversicherungs@legalmail.it
D933R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2016-02-23;9999-12-31;AMTRUST INTERNATIONAL UNDERWRITERS DAC;0000009477630967;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA CLERICI,14  20121 MILANO;;;DANNI;AMTRUSTSUCCURSALEITALIA@LEGALMAIL.IT
D909R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2012-08-20;9999-12-31;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA;0000093238290238;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIALE DEL COMMERCIO, 59  37135 VERONA;;;DANNI;GOVERNANCE@PEC.ARAG.IT
D965R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2019-03-25;9999-12-31;ARCH INSURANCE (EU) DAC;0000010737850965;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA DELLA POSTA 7  20123 MILANO;;;DANNI;ARCHINSURANCEEUDAC@LEGALMAIL.IT
D940R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2017-01-25;9999-12-31;ASISA, ASISTENCIA SANITARIA INTERPROVINCIAL DE SEGUROS, S.A. SOCIEDAD;0000009814820966;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA MONTI, 42  20123 MILANO;;;DANNI;ASISAASISTENCIASANITARIA@LEGALMAIL.IT
D937R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2016-08-05;9999-12-31;ATRADIUS CRÉDITO Y CAUCIÓN S.A. DE SEGUROS Y REASEGUROS;0000013993401002;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA CRESCENZIO, 12  00193 ROMA;;;DANNI;COMUNICAZIONIIVASS.ATRADIUS@PEC.IT
D972R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2020-02-26;9999-12-31;AVIVA LIFE & PENSIONS IRELAND DESIGNATED ACTIVITY COMPANY;0000011224780962;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA SCARSELLINI 14  20161 MILANO;;ONE PARK PLACE, HATCH STREET, DUBLIN 2 IRELAND  DUBLINO IRLANDA;VITA;alpi_italia@legalmail.it
D891R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2010-10-22;9999-12-31;AWP P&C S.A.;0000007235560963;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIALE BRENTA 32  20139 MILANO;;;DANNI;AWP.PC@LEGALMAIL.IT
D949R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2018-07-23;9999-12-31;AXA FRANCE IARD;0000010345000961;IMPRESA SEE CHE OPERA IN STABILIMENTO;CORSO COMO 17   20154 MILANO;;;DANNI;AXAFRANCEIARD@LEGALMAIL.IT
D950R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2018-07-23;9999-12-31;AXA FRANCE VIE;0000008875230016;IMPRESA SEE CHE OPERA IN STABILIMENTO;CORSO COMO 17  20154 MILANO;;;PICCOLO CUMULO;AXAFRANCEVIE@LEGALMAIL.IT
D870R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;2008-01-03;9999-12-31;AXA LIFE EUROPE DAC;0000097449040159;IMPRESA SEE CHE OPERA IN STABILIMENTO;CORSO COMO 17  20154 MILANO;;;VITA;AXALIFEEUROPESS@AXA.LEGALMAIL.IT
